0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42
-0.19327863,-0.19535868,0.01784298,0.12960318,0.0028413446,-0.061811704,0.0707183,0.124851845,-0.97858906,-0.15961583,0.3011454,-0.1016849,0.2633896,0.07584383,0.058067553,-0.27477935,-1.7504772,0.06544375,-0.01784571,-0.047462307,-0.35018143,-0.08593807,-0.16125745,-0.2031303,-0.6913595,-0.04462824,-0.037306637,-0.02918168,-0.09094551,-0.01912452,-0.01808071,0.020335546,0.28036425,-0.08053488,0.049948197,-0.06964193,-0.029231148,0.05688504,-0.10252899,0.02080742,-0.08383899,-0.18983655,0.06706212
-0.646551,1.56199,-0.23979986,-0.47206646,0.2288757,0.0316821,0.8054362,-0.11222634,-0.31911337,0.28017038,0.46092376,-0.8544923,0.5424503,-0.1261545,-1.0604066,-0.28467217,-1.5458418,1.4885164,-0.22131827,-0.45871326,0.6989134,0.46360663,1.0512134,-0.058217917,-1.8400843,0.090015575,0.12694976,-0.853694,0.45664763,0.09400182,-0.48701578,-0.3463208,1.215158,0.031039009,0.78205824,0.5602227,-0.37580463,0.13200907,-0.20549877,0.6230608,-1.6235449,-0.59343994,0.7331941
0.6939224,0.034813434,0.26208133,0.1667705,0.17018336,-0.04386321,0.6835355,0.014308234,-0.72151935,-0.30965158,0.017172422,-0.39977115,-0.19280583,-0.27313814,-0.28248724,-0.68749976,-0.2829739,-0.020962384,0.2855275,0.38662046,0.37473366,0.19573767,0.09056285,-0.49440724,-1.3141769,0.2992116,-0.013474983,-0.51799583,0.08775889,-0.22851455,0.09515634,0.03561996,-0.65209955,-0.40271354,-1.3613942,0.44878498,0.49889398,0.1838189,-0.15728025,-0.7686048,-0.4931642,-0.8692212,-0.17605121
1.2897855,0.28032103,0.28288776,1.6344174,-0.2807666,-0.41180274,0.20266691,-0.1783279,-0.20840916,0.8207332,1.2897696,0.31208116,0.5427306,0.20091227,0.2035474,-0.3376407,-1.2358006,-0.5928221,0.65898347,0.63760096,0.9905379,0.42282864,0.2091463,1.4163998,1.7090837,1.1603467,0.28390792,-0.35246772,1.5304945,1.5458108,0.33345395,1.1526961,1.9070853,-0.11841748,1.2114093,0.66054404,0.45164663,0.337293,0.24218531,-0.20235631,-0.050203662,1.5377762,1.9113775
-0.032728244,0.4486465,0.28812832,-0.2757989,-0.061410572,0.17130932,-0.09443688,-0.17005135,-0.7043048,0.36348674,-0.8854176,-0.29753444,-0.55373454,0.33041894,-0.75854087,-0.9753621,-0.112004094,0.18825877,0.3202938,-0.03216999,-0.051649686,0.37527698,-0.29188573,1.0175879,-1.9654025,-0.031125141,-1.0728242,-0.120060556,-0.2496577,-0.10429225,-0.32212517,-0.25624108,0.032470334,0.11925182,-0.36046118,-0.15673761,-0.63199097,0.72282344,0.010707456,-0.8879652,0.3935996,0.17805368,-0.51723254
1.4867464,0.5310209,0.33321175,0.31838173,0.5070535,0.15530485,-0.0019949374,-0.3481833,-0.013052218,0.021929633,0.082852416,0.488086,-0.07073656,0.10783856,-0.32517385,0.65094703,-1.4645423,0.53835446,-0.4837373,0.26934043,0.22056101,0.6626833,0.085039556,-0.08597098,-0.058026645,0.5498467,-0.20664133,-0.011595509,0.2036847,0.4727785,0.12708803,0.29405215,-0.36493933,-0.5709613,0.649179,0.716032,0.28326926,0.16754106,0.37989935,0.7424971,-0.0045069996,0.32763553,0.099777184
-0.15786816,-0.41070363,0.09187129,-0.32566488,-0.27173886,0.12921627,-0.12149518,-0.9254817,-2.238212,0.47369686,0.33112705,0.5238682,-0.090671904,-0.25314006,-0.096339345,0.74439067,-0.57597363,0.46214414,0.96631825,0.25854245,0.07637657,-0.20840955,-0.26385877,-1.2031382,0.64873475,-0.040782567,-0.08471818,0.18782836,1.211127,0.21584807,0.12010627,-0.5793672,-0.8747926,-0.23866607,-0.3137726,0.007673515,-0.117136255,-0.8675235,0.29859668,-1.3040448,-1.0148613,0.6166988,0.9187936
-0.20557997,0.29533967,0.39423177,-1.3969065,-1.6416867,-0.50205296,0.46965432,-0.0062263487,-0.0014901464,0.019942421,0.55641204,0.36230743,-0.7406182,-1.3660254,0.5481357,-1.0326184,-2.963652,0.25386047,0.27870834,0.17430602,0.6668719,-1.1564851,0.10022391,-0.46614885,0.15108636,-1.4290107,0.6825564,0.17476581,0.29265383,0.3679384,-3.7506726,-0.47754613,-1.0544775,-0.4397877,0.73031276,0.7409421,-0.35183188,-0.3667204,1.3621848,3.7419221,0.37302402,-0.048539713,-0.3862557
0.048673306,-0.051434726,-0.26173446,-0.080862135,-0.2925994,-0.018799651,0.32005727,0.29485503,-0.08256457,-0.61702937,0.030785982,-0.030956073,0.35555896,0.100323,0.4237474,0.20574299,-3.0068946,-0.22579809,-0.1687649,0.16578832,0.1793103,0.07183416,-0.008279498,0.29996985,-0.16519932,-0.174622,-0.16790304,0.31748807,0.5136956,-0.2331051,-0.09231464,-0.25887677,0.4433443,0.11629328,-0.6628909,0.048795704,0.14929245,0.33042574,-0.19102223,1.0239462,-0.16556507,0.12396565,-1.0401965
-0.081976004,0.09168866,-0.10178115,0.017985923,0.024429174,-0.008460148,0.1052935,-0.092407435,0.0023025265,0.017563954,-0.10865604,-0.19637768,-0.0020824573,-0.017180914,-0.11998987,-0.015320593,0.00026563808,-0.16100357,0.033422373,-0.023189235,-0.1925437,0.10513061,0.14700466,-0.07249326,0.1480346,-0.048781928,-0.057912365,-0.014588126,0.05473961,0.009403378,0.013008313,-0.033899587,-0.05473579,-0.11645272,-0.021040589,0.12078526,0.027422296,0.19348387,0.05381312,0.10787794,-0.018834751,-0.055023532,-0.17271696
