0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
0.6653256,-0.4306367,-0.46314904,0.21687077,0.4349435,-0.8728694,0.16705362,-0.8210431,0.2790616,-0.6150029,0.025536083,-0.83829844,-0.27135316,-0.05626957,0.09211142,0.23208973,0.5459948,0.10498137,-0.21343672,-0.17602368,0.2289216,0.117489986,-0.2261247,0.5116078,0.27261877,-1.1304705,-0.19274762,-1.127432,-0.10269425,0.008920397,-0.014217443,0.41971388,0.54634553
-0.2386218,-0.8369193,-0.1433644,-0.95966274,-0.55105436,-0.71810794,0.3024668,0.057856176,0.091423415,-0.7224613,0.14948133,0.57334024,-0.02539359,-0.4263468,-0.71704084,0.44772157,0.68682694,-0.8603861,-0.031996742,-1.0349152,0.059683613,-0.6326726,-0.5926512,0.72262067,0.12328733,-0.022842571,0.1379186,-0.2502389,-0.6206777,0.3654139,-0.96607715,-0.052223608,-0.1640681
0.050077178,-0.16415884,0.09332963,0.006930764,-0.8185286,-0.4189437,-0.38391328,-0.19332978,-0.90438586,-0.074408524,-0.30101645,-0.079604834,-0.26576,-0.041710466,-0.3427983,-0.1859945,0.028411623,0.53701055,0.23132978,-0.47077233,-0.019259086,-0.8168377,-1.0496972,-0.24309003,0.19561179,-0.17580627,0.9089098,-0.57477087,0.49530366,-0.1589531,0.13881615,0.3121871,0.021052929
1.5441366,-0.043319955,0.0015712741,-0.22711195,0.47551212,0.8706414,-0.64456576,-0.2604772,-0.29681763,-0.1687106,-0.480031,1.337125,1.2047514,0.44049624,0.5493784,0.07816945,-0.8143499,-0.008300937,0.8949591,-0.2741873,0.086321205,0.53381705,-0.93598264,1.0646688,-0.18372484,-0.7211507,-0.45283478,-0.73928493,-1.0363548,0.26104808,1.8128368,0.3023655,0.08565415
0.9847486,-0.033742934,-0.33548847,-0.32023472,-0.9808002,-1.8934366,-1.0120473,-0.3369569,-0.6205108,-1.1536922,-0.34399903,0.8274877,0.62214947,0.39035496,-0.43533552,-0.44139838,0.70307547,-0.9410458,-0.32940218,-0.09761623,1.1818154,0.58512485,0.37726596,0.45533478,0.11401781,-0.49197116,0.422357,-0.44341597,-0.97390115,-0.325944,-2.0194054,-0.069002114,0.51376855
0.079497464,-0.06873103,-0.05317219,0.16663358,-0.12644435,-0.011771992,-0.09574321,0.14613117,0.12232188,-0.2219835,0.4032214,0.19075406,-0.1591519,0.22542433,-0.006861708,-0.3856678,-0.53645825,-0.16881013,0.40688902,-2.4543586,0.29438835,0.55196995,0.62523264,-0.8618576,-0.37275636,0.14123154,-0.21701963,0.14544265,-0.08946054,0.60043013,0.21328144,-1.4627167,0.07343893
-0.11516358,0.07286837,-0.14804004,-0.38745406,0.11527592,-0.08813185,-0.52958816,1.0623227,-0.12944005,-0.017741561,0.48163766,0.25065798,0.31900278,1.2984103,-0.04116055,-0.18834707,-0.49935317,-0.05456997,0.24145325,-8.428916,0.050802153,1.7481424,0.12748456,-1.3776594,-1.0561132,0.6624546,-0.59682095,-0.3076524,-0.31331727,1.463589,0.13560747,-1.7870195,0.11074185
-2.628755,-0.0012021881,1.1114242,0.10863226,-0.17838758,-1.0445609,-0.104809225,-0.123403564,0.19464198,-0.442571,1.3339407,-0.018120144,-1.0999247,0.15347923,-0.80015105,0.5845036,0.104455255,1.088042,-0.24343054,0.051584825,-0.5032737,-0.09936283,-0.072949596,-0.5414723,0.24873666,0.07662963,-0.07547185,-0.005243985,-0.74108326,-0.40506333,-2.065085,0.09286684,-0.30983377
-0.038602687,0.020376563,-0.027782027,-0.010641599,0.02324365,0.19952682,0.186575,0.1960137,-0.027342316,0.59377694,-0.09747098,0.58567655,-0.081216164,-0.82780087,0.2953362,-0.19962339,-0.019782338,-0.47143567,-0.35554695,-0.417619,-0.05818799,0.14127041,-0.047168434,0.48911798,-0.04947235,-0.19908288,-0.29065275,-0.8105257,0.19538839,0.15038303,-0.078437775,-0.11701037,0.0201437
-2.364922,-1.0460542,-1.0533414,-0.049599335,0.65530497,0.5331126,-0.8782022,0.032891173,-0.6357554,-1.7379953,-0.18334088,-0.67174655,-0.4431443,0.8362401,0.06886435,0.4933635,-0.17490458,0.34827018,-0.47173062,-0.12555628,-2.5311213,0.45163634,-0.7310987,0.8561354,0.17950442,-0.33616504,-1.2814462,-0.27282894,1.1617876,0.34921983,-0.13750574,-0.15219069,0.21138883
0.1805853,-0.6832462,0.3988915,-0.43701577,-0.8670338,0.118399024,0.0038456323,-0.37569496,-0.1499448,-0.15613933,-0.26291874,0.28230476,-0.8794911,-0.089674965,0.5582139,-0.27840948,0.5107435,0.51992804,-0.09738925,-0.0786521,-0.6008589,0.44563043,-0.79964995,-1.1752253,0.41936663,-0.0043353504,-0.063000165,-1.0796824,0.013500857,0.3067031,0.117511235,-0.48390496,0.04526007
1.260051,-0.7802138,-1.5148567,-0.74442,0.24016516,0.01057224,-0.4536299,-0.5711789,-0.91927254,-0.34755707,0.43442392,-0.9583673,0.26100877,0.09124847,0.4460541,0.60638624,-0.5148443,0.4552735,0.39419618,-0.017731456,-0.22704646,-0.5212039,-0.55232114,-0.6636437,-0.16944595,-0.101152875,-0.039541636,-0.107973576,-0.6583328,0.1612564,-1.7229071,0.17782514,0.5406051
-1.8672669,-1.0185357,-0.36173412,-1.0602449,1.1008558,-0.16449893,-0.0672447,0.15746874,0.1439989,-1.3722242,-0.40371612,0.43384475,-0.801566,1.8159164,-0.13253842,0.7535058,0.2733056,-0.24958,-0.76391083,-0.30370414,-1.2583526,0.7280892,0.38958064,1.0846336,-0.2896278,0.11376732,0.052368514,0.24840824,-0.66965455,0.19290587,0.39724323,-0.47827005,0.17977567
0.016099326,-0.47786674,0.3944607,-1.0125294,0.117998935,-0.3898437,-0.23890096,0.076648645,0.5602482,-0.73354924,1.486767,-0.12563397,0.40539384,4.3401923,-0.45678315,0.781304,0.013051796,0.15772364,0.19746442,0.11924159,-0.0021850024,2.4708622,1.3200215,0.22859187,-0.097988844,-0.06379098,-0.08361583,0.062263913,-0.76453835,0.84429973,0.3652617,0.5149718,-0.30274323
-1.0647261,-1.8077832,-0.3357655,-1.5786568,0.25261042,-0.35270423,-0.13131621,-0.6410094,1.1188318,0.36340225,2.451592,0.16446896,0.029246125,3.7390134,0.20179278,0.1773801,0.7553848,0.64237726,0.3862572,0.1217421,-0.28017867,2.4581795,1.2182606,0.41005856,0.105136275,-1.5524313,-0.35008776,0.050696444,-0.19106288,1.7851545,-0.168602,0.15057336,0.5483656
-1.2290939,0.53908885,-0.47459182,0.12433501,-0.8598862,-0.052574936,-0.49356225,0.30924043,0.2684043,-0.61845684,-0.3638909,0.25685644,0.42584133,0.2141248,0.3505066,-0.78112817,-0.59647673,0.35492864,0.19888875,-0.277643,0.29655254,-0.16161165,-0.5229614,0.8371895,-0.23311992,-0.3694889,0.19244783,-0.089752905,-0.31512818,-0.6871997,0.17424734,-0.059958637,-0.51356673
0.08794261,-0.23478796,0.047479883,-0.20702331,0.2503157,0.25144407,0.101807155,-0.059904102,0.15376118,0.12737444,-0.9620831,-0.097829774,-0.26603186,-0.19267121,0.15197839,-0.046276033,-0.028337069,-0.25632587,-0.5234725,-0.91289824,-0.2855162,-0.16968873,-0.7112124,-0.67381585,-0.25858217,0.03726489,-0.27245092,0.29931915,0.112980075,-0.2576373,-0.3005638,-0.6723046,-0.5375634
0.3213082,0.19601199,-0.65636134,0.44483852,0.5397558,0.078989565,0.16076376,-0.0332404,-0.052934807,0.060091376,-0.091014415,-0.39469263,-0.23860055,-0.28751007,0.107706726,0.07501268,-0.44291246,0.25544184,-0.16656527,0.06485349,-0.32382372,-0.10183821,0.3436962,0.79455864,-0.12188574,-0.28384554,-0.37228984,-0.24353582,0.42396393,-0.35955015,-0.48028466,0.82038945,0.22088031
-0.6105869,0.319551,0.20172292,0.19435395,-0.7196857,-0.55067617,-0.42387208,-1.8322086,0.04803484,-1.0650645,1.0036719,-0.03738751,0.5897368,0.8624207,0.80660594,0.30192232,0.6479221,-0.59814936,-0.79509777,-0.12144872,-0.5435836,0.3021281,-0.21117288,-0.15193534,-0.24511027,-1.446041,0.2310133,-0.4467474,-0.47725084,0.47481042,-0.08887982,-0.14405335,0.40672264
0.6720145,-0.13900505,0.10739963,-0.4200523,0.041264176,0.0059012817,0.36021277,-0.21201518,-0.94641143,-0.5137319,0.0023128446,0.5236351,-0.004073159,0.18549478,0.36454982,0.8635343,0.48485395,-0.06769767,0.07613084,-0.37895325,-0.05066215,-0.71393496,-0.9758156,0.23523301,0.042801175,-0.07157479,-0.015878268,0.19787171,0.027406685,0.051129542,-0.36064273,-0.27198467,0.10738309
0.12994888,0.7204335,0.1802378,1.1708921,0.36215287,-0.46279967,0.3724607,0.22129145,-0.55729026,-0.3657382,0.22070244,-0.093434624,0.031234981,-0.09014182,-0.22499739,0.09629719,-1.1112734,0.114155784,0.30968937,-1.4396229,-0.38319388,-0.08714532,0.82875097,0.6237409,-0.38137153,-0.33928186,-0.47550955,-2.9797976,-0.9197276,0.59900004,0.10085045,0.09598547,0.08827203
-0.21965712,0.009442595,-0.04718809,-0.120330706,-0.12156742,0.09099973,0.09751294,0.1860115,-0.568056,-0.6795213,-0.7655237,-0.010233864,-0.117486596,-0.018889196,-0.2553008,-0.43376195,-0.43066812,-0.74528897,1.1665846,0.07654055,-0.0074673723,0.16330442,-0.025255052,-0.20229217,0.28150353,-0.25056744,0.37732518,-0.4548126,-0.19539212,-0.08143873,0.1815763,-0.115941636,0.27972412
-0.97832644,0.40877306,0.5599456,-1.0796565,0.54691863,0.23515914,0.1383189,-0.3967442,0.89704156,0.6185651,1.1202953,0.38994548,-0.6633012,4.5529604,0.117965564,-0.3383993,0.11980987,-0.070720546,0.4674858,-0.007479282,-0.16096489,3.5701506,1.6227702,0.3080053,0.17177016,-0.93888026,0.09805633,0.34490523,0.4486015,1.3739643,-0.22405908,0.6123641,0.83575106
1.6620843,-0.29855642,-1.2873926,-0.1941401,0.6391719,0.5988069,-1.1970356,-0.06877498,0.079950176,-0.3985745,-0.24254395,-1.7584968,0.19318631,0.6028211,-0.06500241,-0.31691337,-0.31133282,-0.18332584,0.3653426,-0.047176503,0.9451684,0.30834225,0.056724787,1.1780587,0.17956868,-0.94192284,-0.2673766,0.26297623,-0.1552055,0.514128,0.61197203,-0.48667714,0.20966317
0.40585956,-0.26652443,-0.36973533,0.19040616,-0.2320831,-0.061562363,-0.018987188,0.12480064,0.3183386,0.27411178,0.85091716,-0.22790428,-0.2737071,1.9998307,0.09879116,-0.13432083,0.61261046,0.19174722,0.37504795,0.19682026,-0.6016086,1.6692837,1.1303415,-0.21292885,0.16491097,-0.60094315,-0.18091375,-0.43987453,0.21469568,1.0739366,0.09449037,-0.08005709,1.8803866
