0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
0.22621131,0.07867032,0.27023312,-0.57925826,-1.3302627,0.0259684,-0.12032495,-0.24657837,-0.0657749,-0.14522107,-0.1670135,0.05555746,-0.17974365,0.088086516,0.0842593,-0.3605033,-0.06047771,7.9970737,-0.16086413,-0.3432384,-0.32990128,0.41038746,0.73549473,-0.23576583,-0.37619555,-0.03132765,0.22198193,-0.17784283,0.7830656,-0.070649,0.18531132,0.12983932,0.1972226,0.10136937,0.4773808,0.43095902,0.23910594,0.111878365,-0.28564855,0.08066262,-0.21680874,-0.037324056,-0.16890936,0.19387823,-3.877928,-0.036596894,0.09946294,-0.2155978,0.3164101
-1.1408155,0.24012674,1.7380543,0.083155245,0.019168455,-0.44702733,1.0940254,1.0405918,-1.8725826,0.5529634,1.3999939,-0.06630563,-0.5184637,-1.0887903,2.442515,-0.38985234,2.1351767,-0.18763916,-10.148117,0.75859815,-2.2380996,-0.8256749,-0.6049446,0.97807163,0.22371373,-0.29378924,1.8963372,-1.5882589,-1.4495099,-0.272919,0.41834182,-1.1103566,-0.84249365,-0.7073168,-0.4167245,2.954716,0.16462913,1.3480365,-4.0005126,-3.048781,0.23370945,-0.6385529,-0.044945136,0.1309721,0.32110527,-1.0317894,-3.0052793,0.74409115,1.7274514
0.028588843,0.031345874,-0.071802996,-0.25580487,-1.0857537,-0.08787742,0.18681979,0.39004177,-0.315016,0.010036325,-0.17089027,0.3503128,0.26674512,-0.53212273,-0.27085176,0.09696006,-0.15378182,-7.8078513,0.11229915,-1.2042944,0.03652968,0.5230038,0.054089587,0.29316399,-0.022724362,0.10120208,-0.84409213,0.05888508,-0.35136577,-0.11120168,-0.34054556,-0.00795094,-0.6262337,0.04183626,-0.1744312,-0.14894971,0.28204006,0.1418656,-0.21909943,-0.024204096,0.117197394,0.13503212,0.025835909,-0.049360536,-5.0435834,0.9484679,-0.05394661,-0.18050265,0.13060388
0.112303436,-0.45885125,0.2438036,-0.12817168,0.85254633,-0.17301303,-0.10624874,0.6052403,-1.2908404,0.02185243,0.8167971,0.05662353,1.6734477,0.7567961,0.06906525,0.25676706,-0.5552801,0.88492477,-0.2596115,0.0037846933,0.04616853,-1.9331933,-1.1229596,-1.1146271,-0.49847594,0.3603386,-0.048403796,0.0030837501,-0.37484282,-0.6687004,-1.5885869,-0.19418448,-0.60230666,0.49156708,-0.41099447,0.87756926,-3.5584133,-1.0137278,-0.13370809,0.8349638,-0.21997152,-0.36637464,-1.1493855,1.0076219,0.4237433,-1.3028883,0.91286254,-0.33895385,-0.7252685
0.13012524,-0.3985819,-0.03192355,-0.097935185,-0.008687481,0.25820494,-0.015034753,-1.9536419,-0.2782207,-0.31792665,0.28050497,-0.0046892255,0.49553427,-0.34528413,0.062974386,0.43065935,0.4016062,-0.057879217,-0.4523924,-1.3024869,-0.36997452,0.27931088,-0.68504614,-0.14233264,-0.060324397,-2.210343,0.114989646,-0.086786486,0.27923146,-0.4136848,0.36944562,0.1380576,-0.49952018,-0.20185181,-6.778601,-0.464413,0.20006911,-0.37011492,0.068749264,0.40851858,-0.14635152,-0.5182659,-0.26018634,0.102712736,-0.11074983,0.113416374,-0.43924206,0.17154802,-0.32850596
-0.10874988,-0.56499696,-3.5052369,0.13824564,0.08274638,1.7082272,1.1307828,6.5467205,0.7398725,-4.197045,-1.3839178,0.1875444,2.7433932,-0.835657,3.3282146,-0.5909607,3.0243223,-0.2401447,-2.6374772,-0.77407825,-1.1178466,1.4046615,-4.904778,1.7570151,3.12623,1.1267835,-0.78991723,1.1775678,0.21790165,-2.6098247,1.7173783,-2.3994389,0.5676736,-5.067927,-5.398099,3.8286622,-2.6314387,-0.26186123,2.0737436,-0.2870644,0.26253143,0.68450314,0.36773148,-0.85959387,-0.801368,-0.37557754,-2.0923262,-0.68333864,-1.886908
0.31983373,0.8273785,0.52286196,0.06349866,-0.9766529,-2.2955635,-0.6352569,-1.0641036,-2.4803298,0.7048679,1.030492,-0.23623823,0.49481097,-0.8183088,3.8564487,1.7967548,-2.0362055,-0.017772932,-1.5961803,-0.13122699,-2.685015,-0.18386415,-0.49223182,-1.6247534,-2.2907739,0.8347768,2.215401,0.16450036,-0.58405364,-0.9443337,-0.7825366,0.00969853,0.11357905,-0.046198484,0.6793172,1.7662121,-4.549206,-0.27315086,-0.635152,0.11934511,-1.8057343,0.18903916,-0.18371801,2.6265838,0.43290007,0.7246343,-0.3036572,-8.941413,-2.0560875
-0.41555738,0.65939254,1.4503618,-0.16130346,-0.05746348,-0.5327941,0.3329795,-0.2642756,0.43815532,-0.33065078,1.0737444,-0.06140749,1.4609596,-0.22265476,-0.5503913,-1.3306862,-0.30551717,0.12164106,-0.18303373,-0.14132686,1.2919933,-2.509263,-0.048543766,0.41465214,0.02275768,-0.7046162,1.4404277,-0.10260682,0.007921273,-8.187372,0.5534052,-2.048138,0.56063896,-0.5687147,0.40235528,-6.4623575,-0.22559829,1.0836864,-3.10385,1.3818067,-0.36634156,0.28745213,-1.207272,9.357038,0.544595,0.09359003,-0.30702993,2.3202705,0.41169578
-0.019112373,-3.2122548,-1.5910296,-0.3077894,0.046465486,0.640209,-0.34770873,-1.7399471,1.514541,0.7081746,-0.62835675,0.06766214,0.6491173,2.8673303,0.05902312,-0.30474553,-1.8512013,0.3105931,-2.1645167,-0.9220896,-1.7164412,0.24733937,-0.30368617,-1.3768561,0.38572842,-1.0552857,0.6146585,0.49735495,0.8597117,1.6665626,-0.7632768,0.8962217,0.77589536,-0.02085289,-0.2080142,-2.677175,1.2385912,-0.8400045,-2.7199166,-0.7140847,-1.1930639,-0.8564478,0.30923113,2.4123118,-0.012614358,0.32951596,2.0277658,1.2866515,-1.2522616
0.2817942,1.4992175,-0.08586989,-0.22043851,-0.6002757,-0.58926016,-3.5157585,-1.4654727,-0.24978672,0.5377863,-3.0173743,-0.0838845,-2.4778807,-1.9063843,-2.1918218,1.7688472,1.196523,-0.07093679,0.9908853,0.24287698,-0.7944758,0.7528919,-1.7992823,-0.42823946,-0.5312005,-0.39398414,0.11280505,1.0218312,0.8159127,-8.070552,0.31630126,-1.2796769,0.40073228,0.3749518,-0.34785432,0.20932287,0.020636387,-0.7992815,0.3052923,-0.19729017,-0.47704387,-0.6285277,1.9578673,7.723393,0.4705244,0.020740537,1.237165,-0.9358284,0.64921075
0.0044202283,0.0328279,-0.030816773,-0.015378775,-0.17155784,-0.21531267,-0.04489823,0.054960188,0.009881396,0.028453276,0.08916227,-0.77032876,0.42344123,-0.35261324,-0.3993956,-0.5893655,0.013656677,-0.44217035,0.0038012164,-0.20807554,-0.1197486,-0.036742877,0.05973974,0.019504605,-0.072457984,0.19014122,-0.033390623,0.022981916,0.05400253,-0.14094394,-0.12674817,-0.011007024,-0.14500986,0.024782235,0.67781395,0.037226513,0.03060791,0.0068576527,0.055273313,-0.0009641988,-0.30110663,-0.07482184,-0.020605456,-0.017000187,6.315832,0.11261329,0.030326344,-0.08649653,0.02756494
-2.8883202,0.32793945,0.24961393,0.0065313666,-0.17523514,0.9511338,-2.9725885,1.0944794,0.31868,0.61809385,-1.4276464,0.016602706,0.46425572,1.1993039,1.732699,2.4727163,-1.4254637,0.14821227,0.3341164,-0.53464127,-3.621807,0.41720453,-0.8541411,0.028881973,1.2818646,0.027450873,1.152811,1.2318759,-0.524305,-1.1514665,-0.19221303,0.3775799,0.53944796,-1.1435628,0.2436062,-0.5522553,-2.9191816,1.6474103,-0.7906576,-4.016865,-1.2002772,-1.3035083,0.21427193,0.102022104,-0.107088946,-0.85173744,1.1172909,1.4858315,-0.036617197
2.094356,2.2848651,0.69558847,0.118472286,1.2271537,2.5802183,0.52336055,-6.381083,-2.4782047,1.2342092,0.31481346,0.11689516,-3.7261038,-1.3671715,2.243936,4.4479346,-0.46801603,-0.032529633,-0.37004545,0.13078494,-10.215784,-7.829058,-4.861974,-4.043617,-0.59678125,0.10495222,4.71781,-7.5996084,0.860879,-11.1900215,3.664143,0.12982304,1.306322,0.31358793,-1.3326899,1.380833,1.8968897,-1.9061853,1.3671689,1.4203467,-0.9717913,-0.3336176,-1.269454,20.748913,0.09536197,0.25604907,-0.69896424,-2.792672,-8.440229
0.44730935,1.1978197,-0.2198763,-0.0233644,-0.1286759,1.5196778,0.0078055575,2.469421,0.6703662,-0.13797088,-1.3019228,-0.03156216,0.35041907,1.2337297,-0.5552942,0.00935529,-0.92946154,-0.01899895,-0.9694808,-0.25073543,1.0327314,0.870519,-0.19546334,0.51550996,0.46415547,-2.554231,-3.2503228,-0.623481,-0.70311934,-0.10003287,-0.35805607,-0.053214315,1.0393192,-7.8284864,-3.4903145,-0.50099313,0.4381665,-1.5648793,-0.68473166,-0.98794067,-0.23926777,-0.12809369,-0.5439385,-6.2476006,-0.43650022,-1.0529914,-0.9681776,1.6424301,0.20231137
-1.0064659,-0.41026264,-2.3117025,0.11265526,-0.5113352,0.023517003,0.37140805,-4.106643,-2.7528396,0.80768657,-1.5688746,-0.18475582,-2.1554472,-0.8284089,-2.9986107,-0.3976562,-2.7334409,-0.015433339,0.74229085,-0.085778706,-0.76866066,-0.15222682,-8.485408,-3.3520148,-3.9789329,-3.6443841,0.37386405,-0.89180803,0.37859026,0.7975986,0.4665286,0.80186856,3.1267297,-2.4224842,-0.3347188,-6.613996,-0.15436609,0.533626,2.0389094,0.28152335,-1.4303881,-0.201225,-0.3478235,2.0717585,1.0138719,-3.898108,-1.5787735,-0.4930769,-0.9479557
-0.14357741,1.1932088,0.8283467,-0.27780268,0.24477583,-0.050292943,-0.1925797,3.6333652,-0.30358255,1.3799648,-1.2212312,-0.13084011,-0.55166805,1.6147225,-4.3995667,0.77813554,0.05880988,0.2387834,-0.51269543,-0.55757886,0.85519177,-0.3806439,-0.1828133,1.6733774,0.06042593,0.58230877,1.6561061,-0.5592504,-0.56161565,-1.3302797,1.3289511,-0.35600173,-0.35747033,-0.2192878,0.38183123,-2.7098656,-1.9327139,-2.1091018,-0.45652223,0.35829785,-2.289697,1.1977432,0.4743098,6.160286,-0.3892857,0.60314375,-0.63766664,-0.6869233,-0.3694233
