0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62
-2.3102493,-11.215553,-0.5217731,-1.1875277,0.359763,0.5899464,0.59333664,-4.20167,-12.213295,-3.6522608,0.13570708,-1.727642,0.11955601,0.020818202,41.07332,-21.123089,-0.75057447,-0.9870835,-0.15386198,0.29879963,0.04626588,-0.6116561,0.60700953,-4.6852946,1.5960836,-1.4930707,-4.112544,-3.3863294,-0.24722035,0.62058365,-0.27585575,4.87063,0.21779455,-0.35289985,-0.043374162,-0.050122842,11.0125265,-2.7016785,-7.0979433,-2.9659758,1.284286,-12.082562,-5.391219,-0.14270324,-9.368617,-0.14407279,0.4368502,-1.0533762,2.6039288,2.662723,-0.26471722,-0.78411907,1.219643,-10.529901,-2.500449,1.1996206,-11.701774,0.30083966,1.6163037,2.2744093,-1.026867,0.13375838,1.7190952
-0.07492873,-0.0018718507,-0.017518776,-0.032828886,0.006783077,-0.014350827,0.1042701,0.11447567,0.009002637,-0.08492251,-0.051217724,-0.0010985249,-0.25274163,-0.056767672,-3.073933,-0.023594126,0.046279576,0.03492365,0.00959387,-0.0101850275,-1.8380231,-0.019538416,-0.0014154534,0.05821334,0.064894445,-0.014075736,-0.072667286,0.0030999451,-0.06399396,-0.030504335,0.31919652,-0.066686794,-0.06804017,0.114072844,-0.051444735,0.061930466,0.030572873,0.01645259,0.030065661,-0.0013675069,-0.031177633,0.019538952,-0.07343136,0.038260695,-0.0082123075,-0.03186933,-0.011212877,0.22828849,0.017697182,-0.046657123,-0.0067522596,0.015989166,0.04022006,-0.012764897,0.09088844,-0.038139567,0.024176532,-0.09028664,-0.009927097,0.011273787,-0.021446072,0.013817718,0.02404019
-0.20103127,-6.18543,-0.86703175,-8.664197,1.2177521,1.0950382,0.11100827,-6.9234543,0.5260696,-0.8455092,-0.17028832,-8.816552,0.081611365,-0.66519594,3.658362,0.17343384,-0.40457138,2.0133836,0.54763347,0.20467566,-0.08503629,-8.161811,-2.0150325,1.0860931,-1.1897061,-1.6531731,0.09160955,1.960968,-1.79232,0.28533337,-0.9453593,2.3669279,0.9730398,0.055847704,-8.838854,-8.846302,-1.9806954,0.8998412,1.1423382,0.074505284,-4.1188493,-2.2235386,0.62800413,1.48479,-1.0434675,0.09516791,-0.21428184,0.20524979,0.5723313,-0.416627,-2.3731368,-2.1358643,-4.46421,-0.4074265,0.18307626,1.1826866,0.41097677,-0.07497373,-0.59656024,-2.6057594,-7.738001,0.13169779,0.63611746
0.16738522,0.05854647,0.06769758,-0.08468174,-0.023057492,-0.091897,-0.25635213,-0.18006153,0.19841802,0.16639103,0.05338473,-0.03615599,-1.3195921,0.074043676,-2.0915296,0.052865986,0.008975166,0.01812365,0.002078572,0.02364141,0.06923182,0.06014599,0.014601155,-0.851133,-0.10675979,6.179555e-05,0.02842907,0.07398599,0.28019786,-0.003970962,0.8300416,0.2103467,0.12495225,-0.50477934,0.033649664,-0.04175687,-0.12502064,-0.03808662,0.037811536,0.08481567,-0.028519396,-0.038650513,-0.14733599,0.15338418,-0.089353934,0.08114473,-0.11023092,-1.1662874,-0.05977575,-0.061832752,-0.1903142,0.020271922,0.023917587,-0.48990378,-0.31624195,-0.2581839,0.060826294,-0.049988423,-0.079171255,0.12563264,-0.17449516,-0.15647998,-0.008764565
-0.04735103,-0.049059525,-0.20421556,-1.3326331,0.094927,-0.28648698,0.021563282,-3.459324,0.7449806,-0.29037672,-1.0142103,0.14241037,-0.10752853,0.007248433,-6.5932803,-0.034805007,0.26688176,-0.20160155,0.14830197,-1.446149,-2.0885496,0.07099426,-0.18010096,-0.6984982,0.5554204,-0.36135763,-0.47160316,-0.033365738,0.20179777,-0.116718136,-0.7691922,0.4551482,-0.50735277,-0.59504634,0.093897134,-0.6232902,0.9041958,0.63055116,-0.01156491,-0.08535966,0.30949867,0.13054737,-2.3770528,-1.1638126,0.07094995,-0.09270027,-0.91443753,-0.1846401,0.18279949,0.2025674,-0.042516332,0.24291731,-0.6443854,0.13433051,-0.60752624,0.07296193,0.39648795,0.15680958,-0.3293315,0.7703169,-1.2882789,0.181098,0.23109931
0.26933601,-0.034047958,0.028658152,0.192878,-0.32452598,0.30866927,0.31996346,4.4728928,0.6362136,2.1333745,-0.7011684,0.13015689,0.3018398,-0.37213272,0.30128652,-0.39211547,0.44477138,0.6994875,0.041489854,-0.8610836,0.008955667,2.218513,0.5668415,-1.3197459,0.09907248,-0.5683033,0.122007385,-0.18595922,-1.687715,0.081437,-1.4644274,1.2240711,-0.26248708,-0.886431,-3.087208,-2.6188805,0.81337833,0.10087319,-0.6491391,-0.2636599,-2.0361526,-0.02414005,0.26711982,-1.230889,-0.052009944,-0.031781103,-0.22309239,0.12505177,0.007872296,0.30856,0.00020126352,-0.16805592,0.23175626,-0.098682486,0.5229516,-0.75465775,0.34802264,-1.051049,0.0026382117,0.6336826,-0.05860868,0.23546816,-0.97427076
-0.757254,-0.049804144,-0.02830221,-0.07968759,-0.55355155,0.1072706,0.19214042,0.34570965,0.53454256,0.37064737,-0.11299819,0.099365085,-0.10793956,-1.346571,-0.4336272,-0.24451931,0.27522835,0.5817013,0.16610785,-2.5246222,0.035462137,0.21689558,-0.079317294,-0.05505884,0.17433657,-0.86025196,0.35712275,-2.603803,-1.4978358,0.48130822,-0.44071883,0.09682289,-0.14493883,0.06956141,-0.15256605,-0.068702914,-0.57112265,-1.0144352,0.14305688,0.05229344,0.4889833,0.43794447,-0.45817626,-0.999298,-0.1356107,-0.008420395,-0.88646835,-1.1550456,0.022338202,-5.5769787,-0.14385538,-0.10721245,0.42933497,-0.8218509,-2.4780102,-0.46075153,0.47146034,-0.2507859,-0.7196115,0.4341822,0.2815567,-3.679002,-3.50491
-0.6938573,-0.71200967,0.44012433,0.21523759,-0.38133734,-0.118000984,-4.1646667,6.9409156,1.3043045,0.15224923,0.20999365,-1.6149399,-0.3990953,-1.0769993,-0.9493633,-3.3129249,0.64656204,0.18605682,-0.7938135,0.4339596,-0.3060429,-1.3446529,-0.76070344,0.29642114,-2.7891,-0.6051548,-0.011572387,-7.1422415,0.5553172,-0.31162828,-1.9174702,3.409713,0.5585123,-0.6288479,0.038778983,-3.0920246,-6.034937,-1.1906829,-4.8489923,1.2767051,-1.5151584,-0.6839115,-2.051256,1.8958254,0.2952368,0.002369174,0.22350727,0.84129983,-0.74615276,-13.24754,0.41411126,0.53021836,1.3733182,0.9015357,-0.6873768,-3.6601057,1.932681,0.19747274,1.7105978,1.030463,0.7586937,0.20984796,1.4489353
0.19981371,-1.1293527,-0.34934086,-0.642339,-0.20289235,1.0631787,1.1456646,-4.0485034,-1.4910383,0.23686671,0.2758909,-0.8036551,0.30148232,-1.2829325,-1.5520785,0.43779436,2.019953,-1.297926,0.30413303,-1.9593118,0.6362693,-3.0914977,-0.4140326,-0.4821725,-2.492747,0.54441965,0.44878763,1.584963,-2.4540915,-0.26272973,-0.24911235,1.3150638,0.15740827,-0.13117364,-0.10179579,-2.3556416,-3.3133924,1.6288971,0.076858975,-0.43823746,0.048675086,0.42943457,0.1873343,0.13448504,-1.1662074,0.0847289,0.2023768,0.11363998,0.5595308,1.6649252,-3.5821674,0.19370992,-1.3515916,-2.5361304,-1.4640995,-0.2243679,2.1501122,0.0028397173,-4.7268586,-1.934933,-4.744033,-1.8344815,-2.3608136
-1.0527825,-1.1042426,-0.10053866,0.13763474,-1.5115546,-0.53675824,-0.86822003,1.9097799,-3.021222,1.6828033,-0.17765202,0.6217278,0.022017676,-1.686729,-2.2186487,0.44186196,2.6060033,-2.61767,-4.318306,-5.928167,-0.70447797,1.7301409,-1.1687688,2.7355194,-1.4004202,-0.11989409,-1.8512077,1.3479302,-0.60034263,-1.6483628,-1.1568809,-0.35607415,1.4360429,-0.014992811,-5.0807962,-4.6101923,-7.526985,0.2155336,0.08737243,1.3086184,4.488988,-1.3445888,-0.3704756,-4.7786317,-12.247984,0.12297846,-1.0408738,-3.3699963,1.144756,1.589371,-2.4614825,0.3878591,-1.6844393,-0.88356,0.58202446,1.4459127,-2.8424466,-0.17253605,0.94605124,0.82327837,-0.85180056,-6.1397166,0.6513833
