0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
-1.8231071,-2.1817756,0.7649891,-0.549875,-5.037357,2.45394,-2.8547506,0.41208905,-1.1696651,4.100708,0.3437224,2.8331923,0.5044261,-0.39880976,-1.7970043,0.90282774,0.086782515,2.521468,0.9558063,-2.90223,-0.871936,0.71133214,0.014681391,0.020266516
-0.06277487,0.6596734,-0.013305116,0.2642536,-0.15740435,0.056874644,0.76444685,-0.2431431,-2.2575471,0.11671363,1.5523217,0.38808212,-0.20234674,-0.057869986,-0.14825386,-0.052181147,1.5189124,0.36501062,-0.17861776,0.005412196,0.3428926,-1.70579,-3.7464359,0.09193283
-4.7992268,0.26598638,-0.68014485,-1.0504502,0.13653575,2.3130074,0.34228593,0.20860118,-2.9899786,-3.565022,1.7905276,0.7314332,-0.7738082,-0.8644404,-0.8202674,-1.0418952,1.4303517,-0.22786295,-0.7211682,0.23041646,-0.15640087,0.3591873,0.0016350562,0.012118648
-6.0131545,-0.111045584,0.22718553,0.3633443,0.27690732,1.2589134,-0.21403429,-1.0666506,1.7205474,-1.2549813,0.6606038,-0.15782309,0.2166999,0.3170994,-0.8171066,0.16994742,-0.4194633,0.55488145,0.83173436,0.27610695,0.01559785,-0.6814501,0.020181065,-0.020141989
0.872667,-2.0351312,-1.4283538,0.9011706,-2.4165485,1.9434358,-1.3654784,-2.7262866,7.308402,-2.3468559,-0.4010458,-3.2088425,-0.12695614,0.17416428,0.5025433,-0.5299727,-3.3269272,2.7168725,0.8190818,-0.05477028,-0.3864506,-0.9202766,0.019910716,-0.0098348325
-0.15170495,-5.1898026,1.0276402,-0.4868204,0.36347437,-0.18090172,0.0758866,-1.9082611,1.3681343,0.6630618,-1.5085024,1.1631807,0.27542645,-0.20015572,0.16082448,-0.7296912,0.9225512,-0.22006425,-0.20047043,0.52336043,-0.29119018,-0.32865533,-0.039766084,-0.001929119
-0.59415984,0.85665923,0.41065553,-0.6967058,-4.176665,-6.1562424,-3.7168007,-2.3043509,4.089856,2.3133645,3.1657481,4.7381124,0.084317625,2.704708,2.0155492,1.5035071,0.59748507,0.08596083,-1.9143952,-1.413044,-2.2758112,-3.7336733,-0.014969818,-0.0029598884
0.061479624,-0.19561349,0.00485209,-0.022607245,-0.20083845,0.2114571,-0.29340842,-0.120689824,0.21397297,1.0636252,-0.80277777,-0.12351258,-0.24653912,-0.036812857,-0.037567224,0.02064362,-0.2601559,0.5777813,0.2098114,0.22322302,0.45127273,-1.2235551,0.1324742,-7.0311904
0.47106516,0.72361076,-0.741882,-1.1218845,2.3143442,-1.9967102,2.022639,1.9938484,-2.1660898,2.490051,-0.09967107,-1.9637221,-0.39905044,-0.018630035,0.34737083,1.7726718,-0.075024664,-2.1391387,-2.0252433,-0.52351606,1.0844637,1.2169441,-0.030855743,0.0018189693
0.24616618,-6.9560113,-0.3007886,-0.104960956,0.20394701,0.8232656,-0.36259064,1.0369239,3.353006,-1.5262399,-1.354077,0.42945912,-0.8026369,-2.652581,-2.2287881,3.816638,-0.42714772,0.8177434,-0.51414853,-0.32880303,-0.9648208,0.8757972,2.1230981,0.12283709
0.9164927,-6.6168222,0.96817994,1.0672246,2.1887019,-0.5882198,1.381251,1.4589367,-4.236794,0.037171412,-1.268508,1.7459044,0.24782367,-0.7481061,-0.60775876,0.9551661,-0.4712372,0.18852015,1.019595,2.229807,-1.5944759,-1.3103123,0.021175893,0.00033706665
-0.6003475,-3.1793673,-1.3917065,2.079704,2.1096392,0.8632847,-3.7515688,1.8334696,0.97137356,3.8039367,-1.6562333,-5.116873,-2.0155032,-1.0076817,-1.0993018,-1.1671225,2.3667855,-0.28606403,-0.17656173,-0.15700115,1.4847448,-0.95119154,-0.00042853958,0.025575215
0.0025044074,-3.510832,2.0350094,-1.4771756,-1.3418424,2.9643686,4.570678,-0.33533427,-2.9474983,0.48410672,-0.31464478,-1.7145672,-0.76514786,2.2570267,0.8954717,-0.4334388,-2.025345,-0.5423586,-0.4385518,0.946084,0.39527375,-0.8930486,0.004908497,-0.0129662175
0.1202883,-0.44555736,-0.40792662,0.7767388,-9.475665,4.312379,-0.69362605,9.122362,2.772492,2.4670029,-3.793075,-6.1269135,1.5269835,-0.19205359,-0.6403899,-0.728828,-0.66979575,-0.48572072,0.004341562,-1.4855163,-0.9251714,-1.2528552,-0.008480873,-0.009717599
0.7123531,0.22150019,-0.08920536,-9.039699,2.1252475,1.7805257,0.27184683,1.1525224,-1.6877717,0.21099557,2.9016557,-0.59606934,0.6987326,3.5250943,-2.8789244,-0.64297545,-0.32523885,-1.0759213,-1.2795303,1.484125,0.36125794,-0.63201755,-0.016934238,0.024054445
