0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44
0.010945753,-0.11358951,-1.0407323,-0.029376106,1.7237446,-1.4312278,-0.439752,-0.1657589,-1.200695,-0.18052877,-0.74964046,0.2947755,-0.36772078,0.38493317,-0.34695244,0.011000528,-0.58204365,0.010819062,0.16722146,-0.8470864,0.4144967,-0.05070922,1.9673713,-0.48122093,0.7775092,-1.7214744,-0.18366773,-1.2642928,0.38159734,-0.5373595,0.4192189,-0.576717,0.19201013,0.094245985,-0.76584905,0.081991225,0.38647354,-0.21047091,-0.29929373,-0.5179481,0.048730243,0.824942,3.2438543,0.11643779,0.7317865
0.3121018,0.097265236,-0.4477121,-0.22526218,-0.2680227,0.056798164,-0.5107988,0.18606332,-0.5408884,0.4179706,-0.49356312,-0.24505742,0.67065006,0.07326445,-0.19238198,3.6289177,0.31519943,-0.63000345,-0.3272844,0.23145276,0.41417655,1.7084507,-0.9111993,0.019120684,-0.07518808,2.2253697,-0.5204178,-0.8822525,0.31389037,-0.32121143,-0.31789026,0.47390324,-0.01920542,0.40621936,-0.25670433,0.28642735,0.0072936993,0.11762451,3.267456,-0.23634633,3.1439571,-0.24053976,1.0798869,-0.43584463,-0.16514271
-0.11435085,1.0923849,-0.6088746,0.12324481,1.0542178,0.80945677,-0.12549332,0.5678597,0.9884072,-0.083516076,-1.028824,-0.10319324,0.13488999,-0.04462075,-0.32305828,-0.08435762,0.25039303,-0.6408161,0.8980187,-1.1539309,-0.24234669,0.5459826,-0.39868894,3.6043336,-2.8297315,0.41439483,-0.3662588,1.2033784,0.19779165,0.25559637,-0.32973385,-0.12716937,0.5515651,-0.89870685,-1.5599374,-2.101543,0.24301378,-0.001017948,-0.07576137,1.4743313,-1.2996856,-0.7237626,1.6377052,-0.04900087,0.088450566
-0.22704424,-0.50211346,1.3311236,-1.3278663,-1.1880871,0.24007693,-2.4027905,0.37664682,-0.0061508953,-0.10649476,-0.4052275,1.2059304,-0.052154984,-0.55556476,0.80563724,5.4383707,0.0860702,0.14416248,0.4739583,-0.78281343,-0.33764175,4.208532,-0.3188963,-0.7691671,0.30846018,4.3387284,-0.91829586,0.89700377,0.37943277,0.051164392,0.5616359,0.9131452,1.3311299,-0.3773003,-0.6587615,0.099233456,-0.5142763,-0.40284392,4.1531916,0.019717336,3.3873508,-0.3162601,4.384114,-0.15819839,-0.107128024
-0.8282533,-0.5401099,1.4176527,0.2562245,0.6793894,0.8576873,1.1246829,0.21588853,-0.5615144,0.015657399,-1.8315351,-0.90987504,-0.8253632,0.405226,0.23383284,0.78576136,-2.4722323,-2.8565505,1.5016577,0.107393675,-0.49877617,2.041228,1.2937244,-2.8090997,-0.21929121,-2.1698265,-0.20220254,-0.6559702,-0.15081757,-0.77786356,-0.72872055,-0.894109,-1.03386,-0.092158906,-0.3798361,-2.699245,0.4171709,1.8503245,0.8612734,0.60308254,-0.44465148,-0.6634113,0.72683907,0.43788493,0.7165868
-1.031335,1.4943997,0.49452102,-0.4561527,1.521741,-0.42962912,-2.052984,-0.07966278,-0.9248676,0.21976319,0.0076542012,-0.20262681,-0.3041484,-1.1949228,1.3184844,2.4640255,0.12045475,0.033453085,-0.13377222,-0.24040717,-0.5752123,2.6027408,0.8998057,0.56523937,0.036213778,1.4018916,-1.6998767,0.40890694,0.34085968,-1.807568,-0.12984,1.607458,-0.01887533,0.08126845,0.15313524,0.21891288,-0.50968325,1.0167371,2.589284,0.63042754,2.733482,-2.4846404,2.2885752,-0.80324095,0.06613282
-0.40548185,-1.8606004,1.2682594,-0.23839627,-0.5286971,-0.36785218,-1.032773,-0.3022548,0.618893,-0.15838,0.82534105,2.193379,0.2538994,0.48168442,1.0562577,0.32715604,-0.19450733,0.060851645,1.5776652,0.6584168,-0.673587,-0.054558553,0.37786978,-1.8505963,-0.20080839,-1.1405163,0.3609042,-1.1727897,-0.6206052,-0.51897,-0.21542963,-0.32879958,0.3523001,0.07679821,0.26945388,0.6821541,0.44203794,-0.4475629,-0.30888763,-0.39367396,0.11473401,-2.1270633,0.30930847,-0.050634224,0.30067584
-0.14470233,-0.1694703,-0.6143135,-0.29645884,-1.2945386,-0.49925566,-0.7256657,-0.9366184,-0.113630466,-0.22735882,-0.36127418,-0.08110943,0.028951462,-0.24265857,-0.5469916,-0.39075086,0.09610189,-0.6258189,-0.65913963,-1.0786777,0.46831852,1.0417745,-1.2705157,0.85284644,0.5656531,0.40998957,0.33474654,-0.79506195,0.35286835,0.24902566,1.220565,0.29474273,0.12731239,-0.03601271,-0.23566222,0.41093457,-0.40984467,0.7536148,-0.7402295,0.249751,-1.157012,-0.781109,1.0715349,0.07586922,-0.7489257
1.0033212,1.0732863,0.13898043,-0.101773724,-1.8865498,0.81430364,-2.346162,-0.24238496,-0.26720268,0.053444557,0.21578194,1.0487192,-0.72147095,-0.4515775,-0.14806652,0.16869816,-0.27938843,-0.9261911,-0.32229668,-0.05864398,-0.009325114,0.04774631,1.0641657,-0.9118482,-0.4206424,-3.4695733,-0.71904856,-0.6401109,0.064850025,-0.38678297,-0.30055276,-0.20992877,0.7401716,0.4329105,-0.036639012,0.17042713,0.028718594,-1.5268745,0.41569445,-0.82631814,0.28020355,-2.3946848,3.9175186,0.10326458,0.5899869
-0.18001203,-0.8823414,0.007375066,-0.2899216,-0.030214477,0.76442385,-4.545548,-1.6639409,-0.4024167,0.27824637,0.4218569,-1.1662481,0.39787713,-0.25172925,-0.44200438,-0.05817576,-0.15102218,0.21282937,0.43680346,-0.9295476,0.3886944,-0.12947585,-0.64811057,1.0998609,1.2281657,-0.33041102,-0.011005611,1.8598111,-0.32750282,-0.1399899,0.5201313,-0.05104978,-0.07809833,-0.84358835,0.045640983,0.16049643,-0.5539491,0.8748776,0.395596,0.51625186,0.16639666,-1.3788983,-0.13195635,-0.07135392,-0.45269284
0.41724834,0.34831148,-0.5785356,-0.21734275,-0.2862412,-0.2808269,1.0408391,-0.07675051,0.10532181,-0.10026109,-0.3794941,0.86049867,0.34513763,-0.6414739,-0.3925258,0.8490773,0.17998241,0.5692138,-0.12489809,-1.3765011,0.69748026,0.77018535,0.08534115,-2.7558897,-0.95578355,1.5248431,0.19361857,-0.541828,0.39985296,-1.4178209,-0.19304779,0.60376585,-2.1390243,-1.1134353,-0.26987904,-0.4184682,0.01449835,0.24376243,0.054170102,0.087412305,0.9667414,-0.74572814,-0.5017821,-0.19486523,-0.047002897
0.7699556,0.4898755,-0.99095356,-0.15712766,-0.23256837,0.26287204,-0.1003483,-0.26932803,1.7337539,-0.71656424,0.6842159,0.20279409,-1.0536106,0.2387955,1.8462181,0.04136003,-1.5789652,-0.64319885,1.643388,0.14857067,1.2917755,-0.5883863,-0.13766125,-4.1792474,0.026426679,1.825363,-0.9583667,-1.031121,-0.57396525,0.5428683,-1.3199269,-0.34199557,-0.0401799,0.37342644,-0.29418316,0.12594262,1.4509568,1.011359,-1.5400602,0.0020429876,1.2267712,-0.06875824,-1.2735516,-0.031160159,-0.74545145
-0.24330579,-0.11740847,-0.35099256,0.08926491,1.0254176,-0.54988295,1.4807068,-0.2757267,-0.84610116,0.0040089907,-0.5452095,-0.40924564,-0.6014009,-0.69868946,-1.4370831,0.40954763,0.13377847,-0.1420118,0.4452107,0.31571293,0.21198706,-1.9612845,0.36916673,-0.62660986,-0.19639951,1.3569877,-1.7871152,0.19340631,0.14316256,2.0906315,-0.23579851,-0.09108645,1.111445,-0.5203096,-0.6984234,1.3721511,0.19314036,-1.2572042,-0.62432265,-0.22633238,-0.9671658,1.7960114,3.0185654,0.03307691,-1.319561
-0.50704366,-0.03593279,1.1814771,-0.121701516,1.1763451,-0.024547152,-0.6578516,-1.3917863,0.10554005,0.2564219,-0.49152535,-1.1417873,0.7360242,-0.19529209,0.403854,1.912887,0.009951843,0.8282486,0.53479755,-0.77116024,0.12859449,0.31954786,0.6208772,-0.36123693,-0.051323023,1.203807,-0.23387091,-0.77226484,0.7416996,-0.16318282,-0.47387052,-0.7056026,-0.43231654,-0.07182323,-0.24288733,0.26939985,0.63855314,-0.31429628,1.3068626,0.11581115,2.2639897,0.56305933,-0.9470608,-0.12923966,0.13868953
0.073662736,0.16748686,-0.21543525,-0.87082845,-0.8691678,0.64042455,0.09668297,0.17539144,-0.0054250467,0.016024971,-0.05651277,-0.024717763,0.9613032,0.8335485,-0.37828034,0.30030212,-0.189764,0.43385395,-0.2208373,0.09460766,0.029556353,0.34188795,0.048555754,0.024393974,-0.1420235,0.27203107,-0.029948909,0.12098171,-1.0445684,1.8575692,-0.19888951,-0.3054785,0.98078257,1.9552548,0.03675254,-0.17102079,0.24732068,-0.37565112,0.02414295,-0.24122536,-1.6223495,-0.019550977,0.4390289,0.2356388,0.35582566
1.9118465,1.022383,-0.010343853,-0.3575623,-0.86765754,0.35470703,-2.2963862,0.042398665,0.4781441,-0.16342579,-0.9172041,0.6890179,1.1698934,0.48190558,-1.0021284,-0.56232464,1.060501,-1.2394457,-0.425198,-0.7479509,0.18355468,-0.48682585,-1.2431763,1.7707292,0.5130493,1.5968187,-1.0903152,-1.489742,0.5460892,-0.005203922,-0.3738952,-0.4146968,0.7035682,-0.14937252,-0.2174093,-0.30557534,0.15608275,0.49137118,-0.18121263,1.2216451,0.27471203,-0.12793611,1.2780117,-0.030408043,0.36370185
1.5067683,-0.62861085,1.1210426,0.009447749,1.8830066,0.8445118,-2.2602246,0.23550786,2.1301167,-0.022675563,1.6180315,1.0615019,-0.6772885,-1.620253,1.8279517,0.1850825,-0.38483655,-0.03278875,0.07413688,-2.746557,-0.40953574,0.17839423,-0.24377683,2.1554408,-1.0318642,-0.042502686,-2.1851542,3.1543763,1.8010837,0.36750472,0.63665485,-0.12183347,-1.3558632,-0.081102535,-0.6638289,0.85551286,-1.306514,0.6161543,-0.18834867,-1.2226241,-1.3332536,0.5645793,4.061078,-0.3034694,-2.1398723
-0.80780977,0.02433343,-0.12938279,0.56930125,1.169525,-0.19756135,0.08609297,0.5729949,-0.1899716,0.03854526,0.3778665,0.3614453,-0.66039985,-1.322474,0.011278006,-1.2792891,-0.3041392,-0.88524085,0.7153304,-0.1556724,0.7069103,-0.22562207,-1.2406379,-0.5039096,0.37092793,-0.67110056,-0.47688043,0.1235263,-0.12433352,1.0804946,-0.17332964,0.6989012,-0.68258286,-0.6788785,-0.32039008,-0.16144586,0.7203098,0.6602671,-0.2588354,0.2645387,0.035295203,-0.57151294,0.8528532,0.07932757,-1.280453
-0.47105572,-1.7471501,0.84691435,-0.14439753,-2.3107133,1.1046699,3.1492448,-0.8433456,0.15501899,0.07683073,0.9489224,0.27033177,-1.8479106,-5.3582773,-1.4774661,-0.8774134,-1.1033616,-3.8327603,0.7585647,-2.2524297,-0.113911,1.3736427,-0.18513794,-0.90190816,1.0266649,2.5918279,-1.0548995,1.8698524,0.8723204,0.5050519,0.414082,-1.268588,-0.12761338,0.3746983,-0.6089351,-1.1292571,-1.7217193,-0.11328669,-0.083340205,-0.07313281,0.34319717,-2.9832494,-0.8627258,0.03220425,0.2652476
