0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52
1.5950087,-1.2112429,0.872821,-0.1392068,0.36375996,1.9562826,0.5108152,-0.47698802,-0.18702894,0.1156457,0.41557404,0.9283503,0.11633727,0.7966473,0.7167831,-1.1765003,-0.116559416,-0.38690326,-0.22741333,0.8485954,0.16537426,0.8801959,-0.011305127,1.9415029,0.052362118,-0.36295325,0.23978958,-0.40855238,0.12287769,0.73847705,-1.8104317,0.58699536,-2.3705025,-0.5759753,1.1902527,-0.90565145,-0.68442035,0.7184246,-0.17942405,0.027845241,-1.7253457,0.48368564,-0.81045276,1.6804017,0.79853046,-1.0677733,1.5462401,-0.072953865,-0.7026277,-1.012728,0.52677214,-0.22825535,-0.41295913
0.09735633,0.1678856,-0.52658623,0.825796,0.23813675,1.311395,-0.46792528,0.106163755,-0.722927,0.29968974,0.2046085,-1.4100951,0.0346232,0.8203362,-0.5855796,0.037449945,0.09716099,0.14602889,-0.5943762,-1.1982918,0.20523143,0.74733734,0.4863797,2.5887146,-0.08857747,-0.19154094,0.03370603,0.06366381,-0.5511102,-0.32752272,0.32120234,0.36708912,-2.5622752,-0.68963355,-1.1079923,0.60537827,0.44235027,-1.1174902,0.44207016,0.5553386,0.18271706,-4.044244,-0.14224316,0.64786196,0.74552345,0.058661602,-5.993459,0.04030677,-0.2698889,-0.69529337,1.1066611,-0.31446564,-0.22348279
0.26746106,0.050551817,-0.0763478,-0.12673905,-0.5803102,-0.33951712,-0.28362054,1.2697116,0.112105936,0.30083886,-0.5602773,-0.21810319,0.4791055,0.17402224,-0.6114631,-0.13358146,0.38211814,-0.59783685,-0.081682414,-0.35389617,-0.5794913,0.16265792,0.30616224,-1.3985482,-0.23159307,-0.250604,0.06289242,0.24721718,-0.65997714,-0.31219622,-0.18877222,-0.011050409,-7.127787,-0.36444968,-0.183975,0.4348933,-0.29708207,-0.25245616,0.33078244,0.28004193,-0.1305453,0.46751657,0.7411364,0.42922297,0.04971007,0.19373314,0.26794863,-0.24327978,-0.19256046,0.07635317,0.22043741,0.34981403,0.13232341
-1.847461,-0.6696403,-3.339538,2.3153148,1.440382,-0.21373816,-2.7400312,-4.6188617,-3.1691375,-1.5210669,0.081413016,0.32824606,0.47839898,0.7280691,0.26809356,-5.1286616,0.6534073,-0.5530328,0.99300313,-0.18027817,-0.69483685,1.3940264,0.30533022,2.5611978,-2.025408,2.1385744,0.42504746,-5.0873976,0.74044645,-0.89382356,1.1762187,0.63917524,-0.085478514,0.6180268,-1.546143,-0.03780694,-0.75279623,0.15227237,-3.9905717,0.09045911,-0.3547135,-0.49564993,0.23438542,1.0385848,0.2578306,-2.8538704,-3.4260879,-0.1525801,-0.04075571,0.8124624,-0.7753528,0.6737352,-0.12164002
0.021748446,1.0281609,-0.020194678,0.06786359,0.02424195,-0.13925028,-0.028052976,-0.056763373,-0.15626156,0.14108364,-0.043765396,-0.01961526,0.06943207,-0.26193327,-0.030413084,0.02959362,-0.07595884,-0.10764968,-0.15348072,-0.106315956,0.007535709,0.055686846,0.08716374,1.8457423,0.005199532,-0.12293223,-0.015303976,0.0502349,0.15736273,0.013503872,-0.07254618,-0.14410858,-0.03558548,0.0019956913,-0.19896238,0.06849906,-0.1618212,0.17399709,0.002028456,-0.079885095,0.12899263,0.34729025,-0.76136774,0.016875984,0.00870451,-0.4966907,0.14914627,0.95009375,0.006591679,-0.016525934,-0.117772155,0.016070586,-1.5869683
1.1546036,0.085377336,-0.091883816,0.22506931,0.39547557,0.10185379,0.1804347,-0.62780625,0.00067870313,-0.15516125,-0.43393555,0.049900677,-0.10465489,-0.006828081,0.46967766,-0.34836733,0.04390321,0.28070283,-0.40454555,0.8593874,-0.18456899,-0.83687925,-0.66763884,2.1765294,-0.17710797,0.0071565825,0.15922351,0.23944718,-0.44578832,0.07429583,-0.31910518,0.6269831,0.2829196,-0.05322084,0.22539078,-0.76226217,-1.3348819,-0.5460447,-0.040116914,-0.58377606,0.08446201,-1.1107008,1.4436475,2.3990989,1.0503759,0.29822183,-0.69187844,1.2398764,0.031273216,-0.13931416,-1.017742,-20.789696,1.147511
0.47938868,0.11911002,-0.5071737,1.7269725,1.699021,2.3997877,0.35904017,-7.2521796,0.7301124,-1.89163,0.12156051,-0.64524055,-0.09510834,-0.43679306,-2.9553778,1.3847413,-0.37100932,0.13225092,-0.4823887,0.14113249,0.8436762,-0.45006293,1.8900003,2.9049435,-0.80359846,0.77710336,-7.564315,0.121604204,0.40070063,-0.7014858,2.116261,1.1540707,0.10474036,-0.28520465,-3.469272,-0.3842832,2.1517818,1.8862259,-0.99865264,-0.7866272,0.011343776,-4.740264,0.19201052,-0.66943055,-2.9270544,0.9385811,-0.00019781612,0.0146325985,-0.031879198,-3.0591285,1.683586,-0.2492972,0.96679246
1.9476937,-1.0041082,-0.5119194,0.49920693,-1.5704852,1.96882,-0.81564975,-0.38945028,-0.78952223,1.108707,-4.5659776,-0.6540491,1.457155,0.7792964,-2.120602,-0.10159977,-0.43894467,-0.5968525,2.8751373,0.018355262,-0.59135026,0.7219112,-2.3443193,-1.0821097,0.21691778,-1.4134991,-1.7349569,-0.90388006,1.0204558,-0.68930554,-3.289351,-1.0920444,-4.049826,-0.02127473,-3.9688394,-0.28139314,0.7576156,-0.7176871,-1.9165132,0.99934626,-2.269179,4.972727,0.37049854,0.8757819,0.44919786,-0.29714435,0.4076386,0.97817516,-2.4555676,1.280824,0.15681392,-1.5613128,-0.016365273
2.788651,-1.1712375,0.3105485,1.1203998,-0.03822404,-0.25607225,0.406499,0.589593,0.18696472,-0.92459923,-0.74251133,-0.22769037,0.9106063,0.9850401,0.11536849,-1.9353696,-0.17081374,-0.14399682,-0.5019337,0.6787173,0.8836683,0.5351239,-1.2497177,-2.3222222,0.22594808,-1.8378307,-0.07670267,-0.4649619,-1.5396101,0.3300628,-1.1087044,0.52011275,-0.7128426,-0.3030001,1.602373,-0.7218473,1.4706489,0.58163524,-0.8326787,0.92760897,-0.9799674,2.3097136,-0.4665217,-0.7262113,0.9446243,-1.8761551,1.9406441,-0.17156497,-2.491688,-2.709591,-0.28737837,-0.23323782,0.040856782
-0.57823735,-0.19359441,-0.10997128,-0.40928745,0.30277678,0.34575358,0.30784893,-0.20251624,0.5931983,-0.21900614,-0.10021632,-1.014526,-0.7451119,1.2041014,-0.7836776,-0.39254236,0.3749584,-0.6939486,0.15234888,-0.87997365,0.18153854,1.223039,-0.18510345,-2.9667742,-0.07771331,-0.277333,0.20637557,-0.25115556,-0.02913042,-0.43266135,0.1403757,0.7182747,0.062444605,-0.011823821,-0.28727657,0.31053165,0.24549982,-1.8952323,0.12269848,-1.9650649,0.27678546,0.15245005,-0.608402,-0.55694526,0.37769255,0.19458939,0.7093901,0.84218,0.11009806,0.120539024,-2.0748966,0.3763641,-0.12549716
